Variant,Target,Bin,N,Positive,Mean_Predicted_Probability,Observed_Event_Rate,Expected_Events,Absolute_Gap
Original_uncalibrated,1m,1,5896,0,0.0004930818214436907,0.0,2.907210419232,0.0004930818214436907
Original_uncalibrated,1m,2,5895,1,0.0014415835265275659,0.00016963528413910093,8.498134888880001,0.001271948242388465
Original_uncalibrated,1m,3,5895,4,0.0028943734666327403,0.0006785411365564037,17.062331585800003,0.0022158323300763365
Original_uncalibrated,1m,4,5895,3,0.005307611196946564,0.0005089058524173028,31.288368006,0.004798705344529261
Original_uncalibrated,1m,5,5895,3,0.00959110110456319,0.0005089058524173028,56.5395410114,0.009082195252145887
Original_uncalibrated,1m,6,5895,7,0.018277262085072098,0.0011874469889737065,107.74445999150001,0.01708981509609839
Original_uncalibrated,1m,7,5895,7,0.0379848055014419,0.0011874469889737065,223.920428431,0.036797358512468195
Original_uncalibrated,1m,8,5895,28,0.0857525940841391,0.004749787955894826,505.511542126,0.08100280612824427
Original_uncalibrated,1m,9,5895,55,0.21174655345038168,0.009329940627650551,1248.24593259,0.20241661282273113
Original_uncalibrated,1m,10,5896,245,0.5754690686702849,0.04155359565807327,3392.9656288799997,0.5339154730122116
Platt_calibrated,1m,1,5896,0,1.0269040378842767e-05,0.0,0.06054626207365696,1.0269040378842767e-05
Platt_calibrated,1m,2,5895,1,3.141000418813105e-05,0.00016963528413910093,0.18516197468903253,0.0001382252799509699
Platt_calibrated,1m,3,5895,4,6.513914048564054e-05,0.0006785411365564037,0.383995233162851,0.0006134019960707632
Platt_calibrated,1m,4,5895,3,0.0001230534066266198,0.0005089058524173028,0.7253998320639237,0.000385852445790683
Platt_calibrated,1m,5,5895,3,0.00022940299169374478,0.0005089058524173028,1.3523306360346254,0.000279502860723558
Platt_calibrated,1m,6,5895,7,0.0004543896562903755,0.0011874469889737065,2.6786270238317633,0.000733057332683331
Platt_calibrated,1m,7,5895,7,0.0009978597601306327,0.0011874469889737065,5.8823832859700795,0.0001895872288430738
Platt_calibrated,1m,8,5895,28,0.0024724994060991694,0.004749787955894826,14.575383998954603,0.0022772885497956566
Platt_calibrated,1m,9,5895,55,0.007531007511865822,0.009329940627650551,44.39528928244902,0.0017989331157847298
Platt_calibrated,1m,10,5896,245,0.06610507407615948,0.04155359565807327,389.75551675303626,0.024551478418086213
Isotonic_sensitivity,1m,1,41313,25,0.0001401543358853478,0.0006051363977440515,5.790196078431373,0.00046498206185870367
Isotonic_sensitivity,1m,2,7141,32,0.0021942299392597076,0.004481165102926761,15.668995996253573,0.002286935163667054
Isotonic_sensitivity,1m,3,4671,51,0.0054052277148196656,0.010918432883750802,25.247818655922657,0.005513205168931137
Isotonic_sensitivity,1m,4,5827,245,0.06741879376384227,0.04204564956238201,392.84931126190895,0.02537314420146026
