Variant,Target,Threshold_Probability,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,TP,FP
Original_uncalibrated,1m,0.001,0.005102894317848858,0.004992915292820301,0.0,353,52122
Original_uncalibrated,1m,0.002,0.004371036821913607,0.003995914205939359,0.0,352,47065
Original_uncalibrated,1m,0.003,0.003723036391029514,0.0029969131168781143,0.0,350,43376
Original_uncalibrated,1m,0.004,0.0031369200509460825,0.001995906001533614,0.0,348,40605
Original_uncalibrated,1m,0.005,0.0026269561950067887,0.0009928868115854066,0.0,348,38434
Original_uncalibrated,1m,0.006,0.002137468589526028,-1.2150525626278448e-05,0.0,347,36611
Original_uncalibrated,1m,0.007,0.0016626939533444657,-0.0010192121072230814,0.0,345,35036
Original_uncalibrated,1m,0.008,0.001206148030765325,-0.0020283040549118137,0.0,343,33715
Original_uncalibrated,1m,0.009,0.000802633526682469,-0.003039432515108495,0.0,343,32558
Original_uncalibrated,1m,0.01,0.00041961890584498764,-0.004052603659063152,0.0,343,31508
Original_uncalibrated,1m,0.011,4.996267121262516e-05,-0.005067823682985359,0.0,343,30574
Original_uncalibrated,1m,0.012,-0.0003265540125144016,-0.006085098808170567,0.0,342,29743
Original_uncalibrated,1m,0.013,-0.0006980246529623875,-0.007104435281127172,0.0,341,29014
Original_uncalibrated,1m,0.014,-0.0010954351558265718,-0.008125839373704383,0.0,338,28353
Original_uncalibrated,1m,0.015,-0.0014482228680581912,-0.00914931738322083,0.0,337,27736
Original_uncalibrated,1m,0.016,-0.0017733870852075341,-0.010174875632594026,0.0,337,27155
Original_uncalibrated,1m,0.017,-0.0021052180735138147,-0.01120252047047052,0.0,336,26605
Original_uncalibrated,1m,0.018,-0.002439210442601098,-0.012232258271356943,0.0,335,26121
Original_uncalibrated,1m,0.019,-0.0027529610295436878,-0.013264095435751803,0.0,335,25676
Original_uncalibrated,1m,0.02,-0.0030484849659771626,-0.014298038390278083,0.0,335,25221
Original_uncalibrated,1m,0.021,-0.0033415804357236805,-0.01533409358781667,0.0,335,24801
Original_uncalibrated,1m,0.022,-0.003638258542321076,-0.016372267507640613,0.0,335,24427
Original_uncalibrated,1m,0.023,-0.0039189629909689725,-0.017412566655550174,0.0,335,24044
Original_uncalibrated,1m,0.024,-0.004208619849658182,-0.01845499756400873,0.0,335,23713
Original_uncalibrated,1m,0.025,-0.0045008368390102695,-0.01949956679227951,0.0,335,23413
Original_uncalibrated,1m,0.026,-0.004756035815725067,-0.020546280926563163,0.0,335,23053
Original_uncalibrated,1m,0.027,-0.005023683978199834,-0.0215951465801362,0.0,335,22745
Original_uncalibrated,1m,0.028,-0.005296769304398863,-0.022646170393490248,0.0,335,22469
Original_uncalibrated,1m,0.029,-0.005573439348935664,-0.023699359034472216,0.0,335,22218
Original_uncalibrated,1m,0.03,-0.005846797604341398,-0.02475471919842528,0.0,334,21944
Original_uncalibrated,1m,0.031,-0.006106610531021304,-0.02581225760833078,0.0,334,21693
Original_uncalibrated,1m,0.032,-0.006368397205626879,-0.026871981014950953,0.0,333,21430
Original_uncalibrated,1m,0.033,-0.006608552443696679,-0.02793389619697262,0.0,333,21174
Original_uncalibrated,1m,0.034,-0.0068360349030842935,-0.028998009961151677,0.0,333,20911
Original_uncalibrated,1m,0.035,-0.007098776065818368,-0.030064329142458573,0.0,332,20692
Original_uncalibrated,1m,0.036,-0.0073506598518296605,-0.031132860604224606,0.0,332,20494
Original_uncalibrated,1m,0.037,-0.007585011696863189,-0.03220361123828922,0.0,332,20279
Original_uncalibrated,1m,0.038,-0.007816288892418626,-0.03327658796514815,0.0,332,20070
Original_uncalibrated,1m,0.039,-0.00805168359337546,-0.034351797734102525,0.0,332,19877
Original_uncalibrated,1m,0.04,-0.008277214230786631,-0.03542924752340888,0.0,332,19679
Original_uncalibrated,1m,0.041,-0.008503462847984634,-0.03650894434043016,0.0,332,19491
Original_uncalibrated,1m,0.042,-0.008719807714481845,-0.0375908952217876,0.0,332,19298
Original_uncalibrated,1m,0.043,-0.008976450812824999,-0.038675107233513605,0.0,331,19144
Original_uncalibrated,1m,0.044,-0.00921798090042477,-0.03976158747120557,0.0,330,18977
Original_uncalibrated,1m,0.045,-0.009445078754283371,-0.04085034306018065,0.0,330,18820
Original_uncalibrated,1m,0.046,-0.009662161989159073,-0.04194138115563158,0.0,330,18657
Original_uncalibrated,1m,0.047,-0.009881427357195435,-0.043034708942783335,0.0,330,18503
Original_uncalibrated,1m,0.048,-0.010086257328280751,-0.04413033363705097,0.0,330,18338
Original_uncalibrated,1m,0.049,-0.010278639778798816,-0.04522826248419824,0.0,330,18165
Original_uncalibrated,1m,0.05,-0.010508995721764721,-0.046328502760497395,0.0,329,18022
Original_uncalibrated,1m,0.051,-0.0107359583571482,-0.0474310617728899,0.0,329,17899
Original_uncalibrated,1m,0.052,-0.010947116813335373,-0.048535946859148235,0.0,328,17745
Original_uncalibrated,1m,0.053,-0.011137154806595112,-0.04964316538803857,0.0,328,17592
Original_uncalibrated,1m,0.054,-0.011344378212022997,-0.050752724759484696,0.0,328,17462
Original_uncalibrated,1m,0.055,-0.01152861515529449,-0.05186463240473283,0.0,328,17313
Original_uncalibrated,1m,0.056,-0.011726000584215602,-0.0529788957865175,0.0,328,17182
Original_uncalibrated,1m,0.057,-0.01192682667797962,-0.05409552239922855,0.0,327,17042
Original_uncalibrated,1m,0.058,-0.012133193250314986,-0.055214519769079116,0.0,327,16928
Original_uncalibrated,1m,0.059,-0.012324189178061466,-0.05633589545427472,0.0,327,16803
Original_uncalibrated,1m,0.06,-0.012518659248201924,-0.05745965704518353,0.0,327,16685
Original_uncalibrated,1m,0.061,-0.012716325521631577,-0.05858581216450747,0.0,326,16558
Original_uncalibrated,1m,0.062,-0.012923093660673237,-0.05971436846745471,0.0,326,16458
Original_uncalibrated,1m,0.063,-0.013155050586168686,-0.060845333641913045,0.0,325,16368
Original_uncalibrated,1m,0.064,-0.013348684080805128,-0.06197871540862449,0.0,325,16262
Original_uncalibrated,1m,0.065,-0.013562198340642219,-0.06311452152136099,0.0,323,16147
Original_uncalibrated,1m,0.066,-0.013760768750855414,-0.06425275976710121,0.0,323,16051
Original_uncalibrated,1m,0.067,-0.013927038866943105,-0.06539343796620849,0.0,323,15931
Original_uncalibrated,1m,0.068,-0.014115288090638374,-0.06653656397261001,0.0,323,15832
