Target,Metric,Delta_Platt_Minus_Original,CI95_Low,CI95_High,Probability_Platt_Better,Two_Sided_Bootstrap_P,Bootstrap_Requested,Bootstrap_Valid,Bootstrap_Unit,Bootstrap_Seed
1m,AUROC,0.0,0.0,0.0,0.0,1.0,2000,2000,Patient_ID,20260824
1m,AUPRC,0.0,0.0,0.0,0.0,1.0,2000,2000,Patient_ID,20260824
1m,Brier,-0.03571456641907761,-0.03979631416370691,-0.032110120487941936,1.0,0.0,2000,2000,Patient_ID,20260824
1m,Locked_Net_Benefit,0.05000194981969035,0.04501696561634433,0.05542679121998759,1.0,0.0,2000,2000,Patient_ID,20260824
1y,AUROC,0.0,0.0,0.0,0.0,1.0,2000,2000,Patient_ID,20260825
1y,AUPRC,0.0,0.0,0.0,0.0,1.0,2000,2000,Patient_ID,20260825
1y,Brier,-0.060839134830399696,-0.06847730375447572,-0.053292902602834494,1.0,0.0,2000,2000,Patient_ID,20260825
1y,Locked_Net_Benefit,0.05921076232269314,0.05638169818881294,0.061994744603139175,1.0,0.0,2000,2000,Patient_ID,20260825
5y,AUROC,0.0,0.0,0.0,0.0,1.0,2000,2000,Patient_ID,20260826
5y,AUPRC,0.0,0.0,0.0,0.0,1.0,2000,2000,Patient_ID,20260826
5y,Brier,-0.07586082883273397,-0.08835219873874581,-0.06327294950042436,1.0,0.0,2000,2000,Patient_ID,20260826
5y,Locked_Net_Benefit,0.10031624691484767,0.09304143097880085,0.10797783196452883,1.0,0.0,2000,2000,Patient_ID,20260826
