Variant,Target,Stage,N,Positive,Negative,Prevalence,AUROC,AUPRC,Brier_Score,ECE
Original_uncalibrated,1m,Stage1,13011,182,12829,0.01398816386134809,0.8866034970563772,0.20961156738671066,0.11877459801856562,0.2209210728444101
Original_uncalibrated,1m,Stage2,6382,68,6314,0.01065496709495456,0.8450851515772606,0.09933511609326788,0.0364867826887173,0.07237626966813773
Original_uncalibrated,1m,Stage3,12721,39,12682,0.0030657967140948037,0.8877532865074262,0.14051805881577226,0.021154122450233643,0.05932782237200795
Original_uncalibrated,1m,Stage4,8263,25,8238,0.0030255355197870023,0.9059237679048313,0.13325323684138035,0.009317351919222871,0.03229348621730195
Original_uncalibrated,1m,Stage5,16061,27,16034,0.0016810908411680468,0.9689132814990367,0.5057174520514063,0.004009798503759016,0.01716882938915746
Original_uncalibrated,1y,Stage1,11568,451,11117,0.03898686030428769,0.7364552441308102,0.15654468989910839,0.20709093016409416,0.3435499211736688
Original_uncalibrated,1y,Stage2,5681,196,5485,0.03450096813941207,0.8028472829423473,0.1412801438978355,0.07731828318733461,0.15072581799602183
Original_uncalibrated,1y,Stage3,11117,214,10903,0.019249797607268148,0.8134136964789764,0.15865821014933235,0.04685557057987095,0.11798870358488081
Original_uncalibrated,1y,Stage4,7329,105,7224,0.014326647564469915,0.6656357116490007,0.08660437260005124,0.03094389119969388,0.0826212253242748
Original_uncalibrated,1y,Stage5,13181,55,13126,0.004172672786586754,0.9170612109207265,0.14997541089080385,0.009011787028638595,0.0349584077250019
Original_uncalibrated,5y,Stage1,6898,529,6369,0.07668889533198028,0.6889268405179744,0.17544104618057485,0.25329690638853114,0.3837117029088142
Original_uncalibrated,5y,Stage2,3311,221,3090,0.06674720628209001,0.7532545505132597,0.30313005082515343,0.10186619029030423,0.16127809969184537
Original_uncalibrated,5y,Stage3,6000,292,5708,0.048666666666666664,0.6999566818020371,0.1838504514396402,0.06679840557152732,0.10682542069121667
Original_uncalibrated,5y,Stage4,3266,106,3160,0.032455603184323334,0.6745074038691187,0.14269434030317316,0.04212431068996306,0.06932020290566442
Original_uncalibrated,5y,Stage5,3156,49,3107,0.015525982256020279,0.6840577235078131,0.061853423464533534,0.04013001192182512,0.0832757764984474
Platt_calibrated,1m,Stage1,13011,182,12829,0.01398816386134809,0.8866034970563772,0.20961156738671066,0.01288810008738612,0.010316903720092922
Platt_calibrated,1m,Stage2,6382,68,6314,0.01065496709495456,0.8450851515772606,0.09933511609326788,0.010334664970328372,0.004378019315877248
Platt_calibrated,1m,Stage3,12721,39,12682,0.0030657967140948037,0.8877532865074262,0.14051805881577226,0.002871013277717465,0.0017343604938604529
Platt_calibrated,1m,Stage4,8263,25,8238,0.0030255355197870023,0.9059237679048313,0.13325323684138035,0.002857297439012592,0.0014470660639530975
Platt_calibrated,1m,Stage5,16061,27,16034,0.0016810908411680468,0.9689132814990367,0.5057174520514063,0.00140599106998421,0.0010198792479258428
Platt_calibrated,1y,Stage1,11568,451,11117,0.03898686030428769,0.7364552441308102,0.15654468989910839,0.03617943484294469,0.016040632404832365
Platt_calibrated,1y,Stage2,5681,196,5485,0.03450096813941207,0.8028472829423473,0.1412801438978355,0.03192885165840973,0.012240656581875651
Platt_calibrated,1y,Stage3,11117,214,10903,0.019249797607268148,0.8134136964789764,0.15865821014933235,0.017855532669168082,0.009340943021979279
Platt_calibrated,1y,Stage4,7329,105,7224,0.014326647564469915,0.6656357116490007,0.08660437260005124,0.013772104756168033,0.0048159154065932595
Platt_calibrated,1y,Stage5,13181,55,13126,0.004172672786586754,0.9170612109207265,0.14997541089080385,0.003906781667351546,0.0027685017404828483
Platt_calibrated,5y,Stage1,6898,529,6369,0.07668889533198028,0.6889268405179744,0.17544104618057485,0.07532888685573064,0.05936150331572243
Platt_calibrated,5y,Stage2,3311,221,3090,0.06674720628209001,0.7532545505132597,0.30313005082515343,0.05518261596046738,0.015595473401183238
Platt_calibrated,5y,Stage3,6000,292,5708,0.048666666666666664,0.6999566818020371,0.1838504514396402,0.04347203118933893,0.017870048379904635
Platt_calibrated,5y,Stage4,3266,106,3160,0.032455603184323334,0.6745074038691187,0.14269434030317316,0.029745768551539577,0.01454387222701121
