Variable,Variable_Type,Source_Index,Calibration_Mean,New_Test_Mean,Absolute_SMD,Pass_0.10
Cat_诊断3_脾功能亢进,categorical_or_binary,140,0.101785714285715,0.09911280101394149,0.0804523491757919,True
Cat_供体CYP_1/1__Missing,missing_indicator,18,0.2066326530612245,0.23954372623574144,0.07904050402740237,True
Cat_供体CYP_3/3__Missing,missing_indicator,20,0.2066326530612245,0.23954372623574144,0.07904050402740237,True
Cat_供体CYP_1/3__Missing,missing_indicator,19,0.2066326530612245,0.23954372623574144,0.07904050402740237,True
Base_供体性别_男1女0__Missing,missing_indicator,6,0.15306122448979592,0.17997465145754118,0.072221721596922,True
Base_供体年龄__Missing,missing_indicator,4,0.1556122448979592,0.18250950570342206,0.0717423236471358,True
Cat_术式_活体,categorical_or_binary,38,0.8494897959183674,0.8238276299112801,0.06939476039850097,True
Cat_供体血型_B__Missing,missing_indicator,23,0.13010204081632654,0.15335868187579213,0.06665606763688862,True
Cat_供体血型_AB__Missing,missing_indicator,22,0.13010204081632654,0.15335868187579213,0.06665606763688862,True
Cat_供体血型_O__Missing,missing_indicator,24,0.13010204081632654,0.15335868187579213,0.06665606763688862,True
Cat_供体血型_A__Missing,missing_indicator,21,0.13010204081632654,0.15335868187579213,0.06665606763688862,True
Cat_供体CYP_1/3,categorical_or_binary,19,0.4518386388583979,0.4245226975189879,0.062409225490193454,True
Cat_供体CYP_3/3,categorical_or_binary,20,0.4579067631443351,0.48394429998650385,0.05915768851919386,True
Cat_术式_全肝,categorical_or_binary,36,0.09948979591836735,0.11787072243346007,0.0590282673666424,True
Cat_供体血型_O,categorical_or_binary,24,0.38091614247284605,0.4071078920890695,0.05784555863097329,True
Cat_ABO血型相容性_相同__Missing,missing_indicator,8,0.13520408163265307,0.15462610899873258,0.05514309743642942,True
Cat_ABO血型相容性_不相容__Missing,missing_indicator,7,0.13520408163265307,0.15462610899873258,0.05514309743642942,True
Cat_ABO血型相容性_相容__Missing,missing_indicator,9,0.13520408163265307,0.15462610899873258,0.05514309743642942,True
Cat_患儿血型_B,categorical_or_binary,30,0.2922294661279975,0.2693966422334284,0.05087169297586602,True
Cat_诊断2_胆道闭锁,categorical_or_binary,129,0.06446546590166291,0.05852716849564006,0.04965728883307477,True
Cat_诊断2_葛西术后,categorical_or_binary,133,0.8305160142348801,0.8391720678907999,0.047428341282259985,True
Cat_患儿CYP_1/3__Missing,missing_indicator,26,0.0663265306122449,0.07858048162230671,0.04723846173150109,True
Cat_患儿CYP_1/1__Missing,missing_indicator,25,0.0663265306122449,0.07858048162230671,0.04723846173150109,True
Cat_患儿CYP_3/3__Missing,missing_indicator,27,0.0663265306122449,0.07858048162230671,0.04723846173150109,True
Cat_诊断3_肝硬化失代偿,categorical_or_binary,139,0.09923469387755174,0.10038022813688191,0.047159793910658054,True
Cat_诊断3_门静脉高压,categorical_or_binary,141,0.09923469387755174,0.10038022813688183,0.047159793910654155,True
Cat_患儿血型_A,categorical_or_binary,28,0.28725313404886166,0.30874933909651936,0.04705757355010393,True
Cat_手术史_葛西术后__Missing,missing_indicator,35,0.8112244897959183,0.7934093789607097,0.04470222595387735,True
Cat_诊断3_消化道出血,categorical_or_binary,138,0.5012755102040817,0.49936628643852976,0.041979024904735596,True
Cat_患儿血型_A__Missing,missing_indicator,28,0.00510204081632653,0.0025348542458808617,0.04158885894331565,True
Cat_患儿血型_AB__Missing,missing_indicator,29,0.00510204081632653,0.0025348542458808617,0.04158885894331565,True
Cat_患儿血型_B__Missing,missing_indicator,30,0.00510204081632653,0.0025348542458808617,0.04158885894331565,True
Cat_患儿血型_O__Missing,missing_indicator,31,0.00510204081632653,0.0025348542458808617,0.04158885894331565,True
Cat_供体血型_A,categorical_or_binary,21,0.29453034930523275,0.2779433765313694,0.03956127692374625,True
Base_供体年龄,continuous,4,31.50286989795921,31.71021629371073,0.036900176253058706,True
Base_GRWR__Missing,missing_indicator,3,0.02040816326530612,0.025348542458808618,0.03301661362536303,True
Cat_手术史_葛西术后,categorical_or_binary,35,0.990603203306635,0.9920371350799121,0.032944114803697494,True
Cat_供体血型_B,categorical_or_binary,23,0.26260087781396024,0.24930253824577586,0.03285024929445049,True
Cat_术式_劈离,categorical_or_binary,37,0.05102040816326531,0.058301647655259824,0.03200531004034866,True
Cat_ABO血型相容性_相容,categorical_or_binary,9,0.2165983689698544,0.2286534279746106,0.03132852783604047,True
Base_供肝重量__Missing,missing_indicator,2,0.012755102040816327,0.016476552598225603,0.030985065457233812,True
Cat_患儿CYP_3/3,categorical_or_binary,27,0.48429943798196295,0.49889897341881834,0.03029694844504765,True
Cat_诊断2_胆道闭锁__Missing,missing_indicator,129,0.7704081632653061,0.7579214195183777,0.02938906882587432,True
Cat_诊断2_葛西术后__Missing,missing_indicator,133,0.7704081632653061,0.7579214195183777,0.02938906882587432,True
Base_患儿术时体重__Missing,missing_indicator,1,0.02040816326530612,0.016476552598225603,0.029195845883635687,True
Cat_患儿CYP_1/3,categorical_or_binary,26,0.4310360923875498,0.4171736954951255,0.029098233324566975,True
Base_患儿性别_男1女0,categorical_or_binary,5,0.48214285714285715,0.47021546261089986,0.02386078585340913,True
Cat_诊断1_胆道闭锁,categorical_or_binary,92,0.7839864591220441,0.7934913953836781,0.023487916948269807,True
Cat_主要诊断分类_胆道类疾病,categorical_or_binary,14,0.8184292817296698,0.8271844827326503,0.022937910421044778,True
Base_手术年龄,continuous,0,2.1073214242196814,2.1731558929000365,0.021845448651487395,True
Cat_诊断1_胆道闭锁__Missing,missing_indicator,92,0.02040816326530612,0.017743979721166033,0.019457989694086592,True
Cat_ABO血型相容性_不相容,categorical_or_binary,7,0.12917900758713013,0.1232957136773782,0.019128390707159243,True
Cat_供体血型_AB,categorical_or_binary,22,0.06195263040796099,0.06564619313378578,0.016310521793628432,True
Base_患儿术时体重,continuous,1,10.839953900834859,10.973228011559648,0.016245851711628522,True
Cat_ABO血型相容性_相同,categorical_or_binary,8,0.6542226234430158,0.6480508583480095,0.013992210908767334,True
Cat_诊断3_肝硬化失代偿__Missing,missing_indicator,139,0.9923469387755102,0.991128010139417,0.013453289865354028,True
Cat_诊断3_门静脉高压__Missing,missing_indicator,141,0.9923469387755102,0.991128010139417,0.013453289865354028,True
Cat_诊断3_消化道出血__Missing,missing_indicator,138,0.9923469387755102,0.991128010139417,0.013453289865354028,True
Cat_诊断3_脾功能亢进__Missing,missing_indicator,140,0.9923469387755102,0.991128010139417,0.013453289865354028,True
PositivePatient_1m,outcome_balance,-1,0.05357142857142857,0.05576679340937896,0.009647980330556841,True
Cat_主要诊断分类_遗传代谢类疾病（不合并肝损）,categorical_or_binary,15,0.06905729184712935,0.07115452066939087,0.008216706558403428,True
Base_GRWR,continuous,3,3.1469827648518973,3.1547032667062687,0.0074274010691410194,True
Base_供体性别_男1女0,categorical_or_binary,6,0.4393644076629627,0.4360959101848573,0.007209375550429956,True
Cat_供体CYP_1/1,categorical_or_binary,18,0.09025459799726702,0.09153300249450814,0.00504225893937811,True
Cat_患儿血型_O,categorical_or_binary,31,0.3128283598911102,0.31511877956567197,0.004939876796025895,True
