Scope,Model,Model_Family,Target,N_Nodes,N_Patients,Positive_N,Negative_N,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUROC_SE,CI_Method,N_Bootstrap_Requested,N_Bootstrap_Valid,Bootstrap_Seed,AUROC_Delong_CI95_Low,AUROC_Delong_CI95_High,AUROC_Delong_SE,Delong_CI_Method
All-model common valid,XGBoost,ML,1m,88640,1181,557,88083,0.9251513959893101,0.8991264091414481,0.9471201023870983,0.01241883192018464,Patient-level cluster bootstrap percentile,2000,2000,20262609,0.9148286088875771,0.935474183091043,0.005266824892272381,DeLong normal approximation
All-model common valid,XGBoost,ML,1y,76684,1069,1640,75044,0.8198871865091178,0.7763282716389389,0.8652795592358924,0.022508081549019683,Patient-level cluster bootstrap percentile,2000,2000,20262610,0.8107585020011621,0.8290158710170736,0.0046575776799786745,DeLong normal approximation
All-model common valid,XGBoost,ML,5y,35079,683,1797,33282,0.7669787265376994,0.7053830497076015,0.8221039054619912,0.030646305998864268,Patient-level cluster bootstrap percentile,2000,2000,20262611,0.7554605894627476,0.7784968636126511,0.005876708534343144,DeLong normal approximation
All-model common valid,LSTM,ML,1m,88640,1181,557,88083,0.8852891646937133,0.8202102054840441,0.9353402468285642,0.03056190212706957,Patient-level cluster bootstrap percentile,2000,2000,20262612,0.8687756949535733,0.9018026344338533,0.008425394481937498,DeLong normal approximation
All-model common valid,LSTM,ML,1y,76684,1069,1640,75044,0.7340919627964602,0.6506749327291453,0.8086650281718883,0.040591362916982066,Patient-level cluster bootstrap percentile,2000,2000,20262613,0.7208260705113246,0.7473578550815957,0.006768436761989106,DeLong normal approximation
All-model common valid,LSTM,ML,5y,35079,683,1797,33282,0.7108219696730294,0.6530837916945641,0.7731260433988583,0.03113668026891945,Patient-level cluster bootstrap percentile,2000,2000,20262614,0.6986663179650682,0.7229776213809905,0.006201977079090932,DeLong normal approximation
All-model common valid,RSF,ML,1m,88640,1181,557,88083,0.8955450986319803,0.8569875075033071,0.9247823115687576,0.01738409059375135,Patient-level cluster bootstrap percentile,2000,2000,20262615,0.8801707265958341,0.9109194706681265,0.00784421150460791,DeLong normal approximation
All-model common valid,RSF,ML,1y,76684,1069,1640,75044,0.7731070333046888,0.7178346170353606,0.8277910432895587,0.028409059167947136,Patient-level cluster bootstrap percentile,2000,2000,20262616,0.7604893296593443,0.7857247369500332,0.006437722195341974,DeLong normal approximation
All-model common valid,RSF,ML,5y,35079,683,1797,33282,0.7083440217467454,0.646460026631246,0.7728301752568003,0.03204340149077523,Patient-level cluster bootstrap percentile,2000,2000,20262617,0.69498574019213,0.7217023033013608,0.0068155750105531486,DeLong normal approximation
All-model common valid,Qwen3-4B SFT,LLM,1m,88640,1181,557,88083,0.9121447514280384,0.8832320049648552,0.9372070218330448,0.01405186378176098,Patient-level cluster bootstrap percentile,2000,2000,20262618,0.9009925176997681,0.9232969851563088,0.005690019722932541,DeLong normal approximation
All-model common valid,Qwen3-4B SFT,LLM,1y,76684,1069,1640,75044,0.7766719337663368,0.7150268885203589,0.8356175826834915,0.030921241050424507,Patient-level cluster bootstrap percentile,2000,2000,20262619,0.7657834767960972,0.7875603907365765,0.005555437271361291,DeLong normal approximation
All-model common valid,Qwen3-4B SFT,LLM,5y,35079,683,1797,33282,0.712235615803262,0.6421435296123482,0.780775766646029,0.0349005008486866,Patient-level cluster bootstrap percentile,2000,2000,20262620,0.6989255346688381,0.7255456969376859,0.006790982507542025,DeLong normal approximation
All-model common valid,Qwen3-4B baseline,LLM,1m,88640,1181,557,88083,0.7021636663852485,0.6483031667102391,0.7464609306267831,0.024624330942529873,Patient-level cluster bootstrap percentile,2000,2000,20262621,0.6809451486944215,0.7233821840760756,0.010825973261853809,DeLong normal approximation
All-model common valid,Qwen3-4B baseline,LLM,1y,76684,1069,1640,75044,0.6440250906460079,0.6059742226966511,0.6853159709250692,0.019974057526347483,Patient-level cluster bootstrap percentile,2000,2000,20262622,0.6312533313851549,0.6567968499068608,0.006516323443489223,DeLong normal approximation
All-model common valid,Qwen3-4B baseline,LLM,5y,35079,683,1797,33282,0.5707094016605272,0.5333684690848192,0.6067277010819165,0.018587770693070153,Patient-level cluster bootstrap percentile,2000,2000,20262623,0.5558292813024055,0.5855895220186489,0.007592037647372209,DeLong normal approximation
All-model common valid,Llama3.1-8B,LLM,1m,88640,1181,557,88083,0.5350085486328577,0.5133087206228195,0.5549447427837121,0.01082338170560207,Patient-level cluster bootstrap percentile,2000,2000,20262624,0.5123334872118607,0.5576836100538548,0.011569121473585749,DeLong normal approximation
All-model common valid,Llama3.1-8B,LLM,1y,76684,1069,1640,75044,0.5390782163894743,0.5188824309433907,0.5574192214259573,0.009883440449378071,Patient-level cluster bootstrap percentile,2000,2000,20262625,0.525623835007256,0.5525325977716926,0.006864606435804292,DeLong normal approximation
All-model common valid,Llama3.1-8B,LLM,5y,35079,683,1797,33282,0.518891714275042,0.4997007656148894,0.5380442002276173,0.00974661303950136,Patient-level cluster bootstrap percentile,2000,2000,20262626,0.5052752296458461,0.5325081989042378,0.006947313693823454,DeLong normal approximation
All-model common valid,Huatuo-O1-7B,LLM,1m,88640,1181,557,88083,0.5403571435632433,0.5015036814963995,0.5754025333307414,0.018737006002050274,Patient-level cluster bootstrap percentile,2000,2000,20262627,0.5158502930077089,0.5648639941187776,0.012503724940275077,DeLong normal approximation
All-model common valid,Huatuo-O1-7B,LLM,1y,76684,1069,1640,75044,0.5339376102605171,0.5082081560726327,0.5590628251191615,0.012966200797000957,Patient-level cluster bootstrap percentile,2000,2000,20262628,0.5202132061207598,0.5476620144002744,0.007002375680376611,DeLong normal approximation
All-model common valid,Huatuo-O1-7B,LLM,5y,35079,683,1797,33282,0.5088228609955826,0.4937947091852233,0.5242462013255051,0.007566465176921635,Patient-level cluster bootstrap percentile,2000,2000,20262629,0.49519741471360196,0.5224483072775632,0.006951886049670512,DeLong normal approximation
