Scope,Model,Model_Family,Target,N_Nodes,N_Patients,Positive_N,Negative_N,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUROC_SE,CI_Method,N_Bootstrap_Requested,N_Bootstrap_Valid,Bootstrap_Seed,AUROC_Delong_CI95_Low,AUROC_Delong_CI95_High,AUROC_Delong_SE,Delong_CI_Method,Stage,Stage_Label,Day_Range
All-model common valid,XGBoost,ML,1m,19319,1164,320,18999,0.8988333267540397,0.8358293983236995,0.9444331635242411,0.02845022706567769,Patient-level cluster bootstrap percentile,2000,2000,20263609,0.8829617417895829,0.9147049117184965,0.008097896231588872,DeLong normal approximation,Stage1,0d-1m,0-30d
All-model common valid,XGBoost,ML,1m,9483,1123,97,9386,0.8767730399080887,0.7509321303483545,0.9465518206139414,0.05054730298270673,Patient-level cluster bootstrap percentile,2000,2000,20263610,0.8356773590067598,0.9178687208094177,0.020967569417339536,DeLong normal approximation,Stage2,2m-3m,31-90d
All-model common valid,XGBoost,ML,1m,19167,1095,50,19117,0.8868692786525082,0.8213468914027322,0.9380147683050076,0.02891815758374815,Patient-level cluster bootstrap percentile,2000,2000,20263611,0.8478374902186758,0.9259010670863406,0.01991454370677734,DeLong normal approximation,Stage3,4m-12m,91-365d
All-model common valid,XGBoost,ML,1m,12636,968,38,12598,0.9288358218931995,0.8197288540408373,0.978512116018877,0.0385942409278663,Patient-level cluster bootstrap percentile,2000,2000,20263612,0.8948518150290379,0.962819828757361,0.01733909762231507,DeLong normal approximation,Stage4,1y-2y,366-730d
All-model common valid,XGBoost,ML,1m,24329,848,34,24295,0.972117235451497,0.8807291944245519,0.9964131235782594,0.02907640120611152,Patient-level cluster bootstrap percentile,2000,2000,20263613,0.942473691346011,1.0,0.015124535113558437,DeLong normal approximation,Stage5,>2y,>730d
All-model common valid,XGBoost,ML,1y,17126,1040,704,16422,0.730253588589586,0.6516596350619502,0.7993426301386588,0.03820707312904226,Patient-level cluster bootstrap percentile,2000,2000,20263614,0.7114264334630787,0.7490807437160933,0.009605867901152006,DeLong normal approximation,Stage1,0d-1m,0-30d
All-model common valid,XGBoost,ML,1y,8483,1003,300,8183,0.7978606053199723,0.700529492990546,0.8739342504058426,0.04358440526599948,Patient-level cluster bootstrap percentile,2000,2000,20263615,0.7728561057282305,0.822865104911714,0.012757632175373682,DeLong normal approximation,Stage2,2m-3m,31-90d
All-model common valid,XGBoost,ML,1y,16788,971,342,16446,0.788429686238784,0.7199896898616724,0.878013732344822,0.04057028088320447,Patient-level cluster bootstrap percentile,2000,2000,20263616,0.7671732973210772,0.8096860751564907,0.010845295671438085,DeLong normal approximation,Stage3,4m-12m,91-365d
All-model common valid,XGBoost,ML,1y,11158,866,134,11024,0.71627575114269,0.48686481332510917,0.9135120462553696,0.11209779587443627,Patient-level cluster bootstrap percentile,2000,2000,20263617,0.6638961856829673,0.7686553166024128,0.026724759165416348,DeLong normal approximation,Stage4,1y-2y,366-730d
All-model common valid,XGBoost,ML,1y,19992,763,77,19915,0.929540156052835,0.7795632609868551,0.9919290359212398,0.05771801098751253,Patient-level cluster bootstrap percentile,2000,2000,20263618,0.8995882404264903,0.9594920716791797,0.015281870413232871,DeLong normal approximation,Stage5,>2y,>730d
All-model common valid,XGBoost,ML,5y,10295,666,821,9474,0.6989820463827278,0.6350133683503558,0.7618874808954668,0.03194627211968024,Patient-level cluster bootstrap percentile,2000,2000,20263619,0.679920244248547,0.7180438485169085,0.009725587962094119,DeLong normal approximation,Stage1,0d-1m,0-30d
All-model common valid,XGBoost,ML,5y,4917,625,305,4612,0.7917122829966019,0.6817345354388779,0.8743593065665731,0.04925644202565925,Patient-level cluster bootstrap percentile,2000,2000,20263620,0.7624594885824352,0.8209650774107686,0.014925169362758195,DeLong normal approximation,Stage2,2m-3m,31-90d
All-model common valid,XGBoost,ML,5y,8922,594,342,8580,0.7371641516378359,0.5935011206258217,0.8537412600152857,0.06811597284992969,Patient-level cluster bootstrap percentile,2000,2000,20263621,0.706050571213183,0.7682777320624887,0.01587456742576536,DeLong normal approximation,Stage3,4m-12m,91-365d
All-model common valid,XGBoost,ML,5y,4942,489,126,4816,0.6864584981279334,0.5257647562868079,0.8382181168889136,0.07946055769117938,Patient-level cluster bootstrap percentile,2000,2000,20263622,0.6336960548114069,0.7392209414444598,0.02692010860031606,DeLong normal approximation,Stage4,1y-2y,366-730d
All-model common valid,XGBoost,ML,5y,4538,356,117,4421,0.8241087119169003,0.4593396140074551,0.9516422286289451,0.12769655071751138,Patient-level cluster bootstrap percentile,2000,1999,20263623,0.7748607299366455,0.8733566938971551,0.025126983132708877,DeLong normal approximation,Stage5,>2y,>730d
All-model common valid,LSTM,ML,1m,19319,1164,320,18999,0.8414148442023264,0.7003487544264283,0.9322414228853578,0.061868942821206134,Patient-level cluster bootstrap percentile,2000,2000,20263624,0.8133794309800731,0.8694502574245796,0.014304045096436985,DeLong normal approximation,Stage1,0d-1m,0-30d
All-model common valid,LSTM,ML,1m,9483,1123,97,9386,0.8675225879298187,0.7899785583430714,0.9447032123654535,0.039033897617338956,Patient-level cluster bootstrap percentile,2000,2000,20263625,0.834500465840603,0.9005447100190345,0.016848331066126754,DeLong normal approximation,Stage2,2m-3m,31-90d
All-model common valid,LSTM,ML,1m,19167,1095,50,19117,0.8124946382800649,0.6560579390468468,0.9313435504227924,0.07576754774326008,Patient-level cluster bootstrap percentile,2000,2000,20263626,0.7482679782187186,0.8767212983414111,0.03276930625662409,DeLong normal approximation,Stage3,4m-12m,91-365d
All-model common valid,LSTM,ML,1m,12636,968,38,12598,0.9175140582047275,0.7479713503087692,0.9863800700936775,0.0555066065199656,Patient-level cluster bootstrap percentile,2000,2000,20263627,0.8691976555866191,0.965830460822836,0.024651678805948502,DeLong normal approximation,Stage4,1y-2y,366-730d
All-model common valid,LSTM,ML,1m,24329,848,34,24295,0.9496725300533879,0.7731674940078108,0.9944087556887288,0.05756273428069458,Patient-level cluster bootstrap percentile,2000,2000,20263628,0.8992516290296723,1.0,0.02572542221256578,DeLong normal approximation,Stage5,>2y,>730d
All-model common valid,LSTM,ML,1y,17126,1040,704,16422,0.6608893557422968,0.5506938085383746,0.7619967143856526,0.053595601206165994,Patient-level cluster bootstrap percentile,2000,2000,20263629,0.6368940587973166,0.6848846526872769,0.012242723404231883,DeLong normal approximation,Stage1,0d-1m,0-30d
All-model common valid,LSTM,ML,1y,8483,1003,300,8183,0.7553875921626136,0.6271561314277896,0.8596401227360931,0.059857196511331194,Patient-level cluster bootstrap percentile,2000,2000,20263630,0.7263323113136071,0.7844428730116202,0.014824395283888344,DeLong normal approximation,Stage2,2m-3m,31-90d
All-model common valid,LSTM,ML,1y,16788,971,342,16446,0.6457127455226497,0.4572057376452107,0.7983701634526703,0.08927040857654106,Patient-level cluster bootstrap percentile,2000,2000,20263631,0.6132976240301155,0.6781278670151839,0.016538631193338517,DeLong normal approximation,Stage3,4m-12m,91-365d
All-model common valid,LSTM,ML,1y,11158,866,134,11024,0.6652161904555596,0.4447046643718145,0.8248867766511119,0.09821682476308297,Patient-level cluster bootstrap percentile,2000,2000,20263632,0.6141394966048339,0.7162928843062852,0.026060016537860976,DeLong normal approximation,Stage4,1y-2y,366-730d
All-model common valid,LSTM,ML,1y,19992,763,77,19915,0.7272055586893649,0.4530220046015287,0.8896833428859433,0.11046505114770079,Patient-level cluster bootstrap percentile,2000,1998,20263633,0.6616805159297746,0.7927306014489551,0.03343175858150633,DeLong normal approximation,Stage5,>2y,>730d
All-model common valid,LSTM,ML,5y,10295,666,821,9474,0.674231122191718,0.601916897261877,0.7389264649031105,0.035353485292062115,Patient-level cluster bootstrap percentile,2000,2000,20263634,0.6551506475153385,0.6933115968680975,0.009735114944398904,DeLong normal approximation,Stage1,0d-1m,0-30d
All-model common valid,LSTM,ML,5y,4917,625,305,4612,0.7262678970042512,0.612959204194916,0.818141270232319,0.05386439413950972,Patient-level cluster bootstrap percentile,2000,2000,20263635,0.6979361738075107,0.7545996202009917,0.014455226432841368,DeLong normal approximation,Stage2,2m-3m,31-90d
All-model common valid,LSTM,ML,5y,8922,594,342,8580,0.6399487452119031,0.5256239314870554,0.7345638805440263,0.051670494899831054,Patient-level cluster bootstrap percentile,2000,2000,20263636,0.6117390460876081,0.6681584443361982,0.014392968109010935,DeLong normal approximation,Stage3,4m-12m,91-365d
All-model common valid,LSTM,ML,5y,4942,489,126,4816,0.5936791383219955,0.3902843344000284,0.7698748354302078,0.0946855955470169,Patient-level cluster bootstrap percentile,2000,2000,20263637,0.5377958474503876,0.6495624291936034,0.02851240701992905,DeLong normal approximation,Stage4,1y-2y,366-730d
All-model common valid,LSTM,ML,5y,4538,356,117,4421,0.77204948410558,0.4152301987347954,0.9213871843292937,0.13519794782712055,Patient-level cluster bootstrap percentile,2000,1999,20263638,0.7164184856389532,0.8276804825722069,0.028383684039827817,DeLong normal approximation,Stage5,>2y,>730d
All-model common valid,RSF,ML,1m,19319,1164,320,18999,0.879074392073267,0.8374940801893467,0.9165872475976998,0.02025926384864785,Patient-level cluster bootstrap percentile,2000,2000,20263639,0.8608163678366463,0.8973324163098877,0.009315489662380393,DeLong normal approximation,Stage1,0d-1m,0-30d
All-model common valid,RSF,ML,1m,9483,1123,97,9386,0.8655274031734037,0.7203123565648089,0.9406936541050872,0.05743668239496443,Patient-level cluster bootstrap percentile,2000,2000,20263640,0.8221779537419234,0.908876852604884,0.022117472450216086,DeLong normal approximation,Stage2,2m-3m,31-90d
