Target,Target_Label,Model,N_Stages,AUROC_mean,AUROC_sd,AUROC_range,Weighted_AUROC_mean,Weighted_AUROC_sd,Mean_CI_width,Max_CI_width,Min_CI_low,Min_AUROC,Min_AUROC_Stage,Max_AUROC,Max_AUROC_Stage,Max_CI_width_Stage,Low_event_stage_count,Minimum_Positive_N,Stability_Grade
1m,1-month,XGBoost,5,0.9126857405318667,0.038539034931784795,0.09534419554340823,0.9090897398111715,0.03277005056612598,0.13907170470003025,0.1956196902655869,0.7509321303483545,0.8767730399080887,Stage2,0.972117235451497,Stage5,Stage2,2,34,High stability
1m,1-month,LSTM,5,0.8777237317340653,0.055760947225129205,0.13717789177332318,0.8727957459870748,0.048260632937655056,0.22431058306461674,0.27528561137594554,0.6560579390468468,0.8124946382800649,Stage3,0.949672530053388,Stage5,Stage3,2,34,Moderate stability
1m,1-month,RSF,5,0.8498852836383348,0.07880789250713832,0.21474093651325266,0.8463325764761549,0.06930445445072436,0.23395404551336524,0.4065584793400524,0.5539136713495644,0.7293633938379454,Stage3,0.944104330351198,Stage5,Stage4,2,34,Moderate stability
1m,1-month,Qwen3-4B SFT,5,0.8831695486427105,0.055392439009689064,0.1375323161137847,0.8801499681434259,0.04634627703374971,0.17191802536437129,0.26922632199655483,0.6571724305323572,0.8339178733466465,Stage4,0.9714501894604312,Stage5,Stage4,2,34,Moderate stability
1m,1-month,Qwen3-4B baseline,5,0.5980010344461281,0.06536095737071602,0.16148962607628936,0.5954610425128859,0.05896856900896901,0.2959511273884314,0.4460432999707737,0.3245101373991975,0.4839645341842339,Stage3,0.6454541602605233,Stage5,Stage5,2,34,Uncertain stability
1m,1-month,Llama3.1-8B,5,0.54285863601119,0.035179864870005316,0.07776119360429168,0.5397349764269808,0.031086074709153432,0.1390469178322497,0.1788747431556595,0.4283388880131426,0.5008665752144849,Stage1,0.5786277688187765,Stage4,Stage3,2,34,High stability
1m,1-month,Huatuo-O1-7B,5,0.5333174881896415,0.05206458323049461,0.12075528231220739,0.5301350213709028,0.046698804481654435,0.18028167461149552,0.23929351916823144,0.373905493617347,0.4606360830674268,Stage3,0.5813913653796342,Stage4,Stage2,2,34,Moderate stability
1y,1-year,XGBoost,5,0.7924719574687733,0.08442460516625838,0.21326440491014498,0.7871671514462295,0.07084485590110609,0.22362496056795997,0.4266472329302605,0.4868648133251091,0.71627575114269,Stage4,0.929540156052835,Stage5,Stage4,0,77,Moderate stability
1y,1-year,LSTM,5,0.690882288514497,0.047641700155623204,0.10967484663996396,0.6898343362110884,0.043193037633093484,0.32035895470535064,0.4366613382844146,0.4447046643718145,0.6457127455226497,Stage3,0.7553875921626136,Stage2,Stage5,0,77,Uncertain stability
1y,1-year,RSF,5,0.7259600624287857,0.05420918678548658,0.13914352220757709,0.7243046989498618,0.04599089681803144,0.2628564317262766,0.3817846158792536,0.4566382448356515,0.6616168522409721,Stage4,0.8007603744485492,Stage5,Stage4,0,77,Uncertain stability
