Scope,Model,Model_Family,Target,N_Nodes,N_Patients,Positive_N,Negative_N,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUROC_SE,CI_Method,N_Bootstrap_Requested,N_Bootstrap_Valid,Bootstrap_Seed,AUROC_Delong_CI95_Low,AUROC_Delong_CI95_High,AUROC_Delong_SE,Delong_CI_Method,Stage,Stage_Label,Day_Range,CI_width,Error_Low,Error_High,Low_Event_Flag
All-model common valid,XGBoost,ML,1m,19319,1164,320,18999,0.8988333267540397,0.8358293983236995,0.9444331635242412,0.0284502270656776,Patient-level cluster bootstrap percentile,2000,2000,20263609,0.8829617417895829,0.9147049117184964,0.0080978962315888,DeLong normal approximation,Stage1,0d-1m,0-30d,0.10860376520054171,0.0630039284303402,0.04559983677020152,False
All-model common valid,LSTM,ML,1m,19319,1164,320,18999,0.8414148442023264,0.7003487544264283,0.9322414228853578,0.0618689428212061,Patient-level cluster bootstrap percentile,2000,2000,20263624,0.8133794309800731,0.8694502574245796,0.0143040450964369,DeLong normal approximation,Stage1,0d-1m,0-30d,0.23189266845892953,0.14106608977589807,0.09082657868303146,False
All-model common valid,RSF,ML,1m,19319,1164,320,18999,0.879074392073267,0.8374940801893467,0.9165872475976998,0.0202592638486478,Patient-level cluster bootstrap percentile,2000,2000,20263639,0.8608163678366463,0.8973324163098877,0.0093154896623803,DeLong normal approximation,Stage1,0d-1m,0-30d,0.07909316740835315,0.04158031188392031,0.03751285552443284,False
All-model common valid,Qwen3-4B SFT,LLM,1m,19319,1164,320,18999,0.8765912844097058,0.8169948587558513,0.9282428059222722,0.0290178015676043,Patient-level cluster bootstrap percentile,2000,2000,20263654,0.8587827082508799,0.8943998605685317,0.0090861752049005,DeLong normal approximation,Stage1,0d-1m,0-30d,0.11124794716642084,0.05959642565385448,0.051651521512566356,False
All-model common valid,Qwen3-4B baseline,LLM,1m,19319,1164,320,18999,0.6281825688194117,0.5723780741589454,0.684238576260423,0.0287547017567853,Patient-level cluster bootstrap percentile,2000,2000,20263669,0.5988609461627419,0.6575041914760815,0.0149602864582997,DeLong normal approximation,Stage1,0d-1m,0-30d,0.11186050210147758,0.05580449466046633,0.056056007441011246,False
All-model common valid,Llama3.1-8B,LLM,1m,19319,1164,320,18999,0.5008665752144849,0.4635915485382749,0.5325378345963606,0.0175646035915955,Patient-level cluster bootstrap percentile,2000,2000,20263684,0.4704808493545342,0.5312523010744354,0.0155032062321702,DeLong normal approximation,Stage1,0d-1m,0-30d,0.06894628605808573,0.037275026676209966,0.03167125938187576,False
All-model common valid,Huatuo-O1-7B,LLM,1m,19319,1164,320,18999,0.4967356012158534,0.4435445391379692,0.5429496126911106,0.0248641538474694,Patient-level cluster bootstrap percentile,2000,2000,20263699,0.4634217717564662,0.5300494306752406,0.0169971640918722,DeLong normal approximation,Stage1,0d-1m,0-30d,0.09940507355314143,0.05319106207788421,0.04621401147525722,False
All-model common valid,XGBoost,ML,1m,9483,1123,97,9386,0.8767730399080887,0.7509321303483545,0.9465518206139414,0.0505473029827067,Patient-level cluster bootstrap percentile,2000,2000,20263610,0.8356773590067598,0.9178687208094176,0.0209675694173395,DeLong normal approximation,Stage2,2m-3m,31-90d,0.1956196902655869,0.12584090955973426,0.06977878070585264,False
All-model common valid,LSTM,ML,1m,9483,1123,97,9386,0.8675225879298187,0.7899785583430714,0.9447032123654536,0.0390338976173389,Patient-level cluster bootstrap percentile,2000,2000,20263625,0.834500465840603,0.9005447100190345,0.0168483310661267,DeLong normal approximation,Stage2,2m-3m,31-90d,0.15472465402238222,0.07754402958674733,0.07718062443563489,False
All-model common valid,RSF,ML,1m,9483,1123,97,9386,0.8655274031734037,0.7203123565648089,0.9406936541050872,0.0574366823949644,Patient-level cluster bootstrap percentile,2000,2000,20263640,0.8221779537419234,0.908876852604884,0.022117472450216,DeLong normal approximation,Stage2,2m-3m,31-90d,0.22038129754027835,0.14521504660859486,0.0751662509316835,False
