Scope,Model_A,Model_B,Target,Metric,N_Nodes,N_Patients,Positive_N,Negative_N,Model_A_Value,Model_B_Value,Delta_A_minus_B,Bootstrap_Mean_Delta,Bootstrap_SD_Delta,CI_95_Low,CI_95_High,P_Value,N_Bootstrap_Requested,N_Bootstrap_Valid,Seed,Q_Value_BH,Significant_FDR_0_05
Overall,XGBoost,LSTM,1m,auroc,88640,1181,557,88083,0.9251513959893101,0.8852891646937133,0.03986223129559674,0.039754105820689715,0.028972119159541697,-0.0036474546931183475,0.1068357274260769,0.0986,10000,10000,20261617,0.12423599999999999,False
Overall,XGBoost,LSTM,1y,auroc,76684,1069,1640,75044,0.8198871865091178,0.7340919627964602,0.08579522371265769,0.08568928643017769,0.04033564646644052,0.009740083306492446,0.1660091793159341,0.025,10000,10000,20262626,0.03579545454545455,True
Overall,XGBoost,LSTM,5y,auroc,35079,683,1797,33282,0.7669787265376994,0.7108219696730294,0.05615675686467003,0.055421236312169206,0.026402918944444125,0.0029451578609613845,0.10623259821230456,0.0388,10000,10000,20263635,0.053139130434782605,False
Overall,XGBoost,RSF,1m,auroc,88640,1181,557,88083,0.9251513959893101,0.8955450986319803,0.02960629735732978,0.03010941004148459,0.013716151424076417,0.0036563784238499574,0.05847347798348578,0.0244,10000,10000,20264644,0.03574883720930233,True
Overall,XGBoost,RSF,1y,auroc,76684,1069,1640,75044,0.8198871865091178,0.7731070333046888,0.046780153204429076,0.04725480302869693,0.023464066478814175,0.0018310992898612868,0.09437687195054724,0.0416,10000,10000,20265653,0.055761702127659574,False
Overall,XGBoost,RSF,5y,auroc,35079,683,1797,33282,0.7669787265376994,0.7083440217467454,0.058634704790954006,0.05839936655660904,0.0218780110425457,0.016682347907253387,0.10186691647171844,0.0052,10000,10000,20266662,0.0078,True
Overall,XGBoost,Qwen3-4B SFT,1m,auroc,88640,1181,557,88083,0.9251513959893101,0.9121447514280384,0.013006644561271652,0.013035359280790061,0.008639614385320762,-0.0032689694878787283,0.03091871212890503,0.1192,10000,10000,20267671,0.1472470588235294,False
Overall,XGBoost,Qwen3-4B SFT,1y,auroc,76684,1069,1640,75044,0.8198871865091178,0.7766719337663368,0.04321525274278104,0.04194979102815099,0.019649529618652756,0.002535868108491624,0.0799849822988111,0.0382,10000,10000,20268680,0.053139130434782605,False
Overall,XGBoost,Qwen3-4B SFT,5y,auroc,35079,683,1797,33282,0.7669787265376994,0.712235615803262,0.054743110734437384,0.053647658854352985,0.0331327265391073,-0.008339075509549059,0.12047074367382951,0.0912,10000,10000,20269689,0.11725714285714287,False
Overall,XGBoost,Qwen3-4B baseline,1m,auroc,88640,1181,557,88083,0.9251513959893101,0.7021636663852485,0.22298772960406155,0.22371538325409457,0.02559496137682028,0.17466918754911842,0.27418581158050065,0.0,10000,10000,20270698,0.0,True
Overall,XGBoost,Qwen3-4B baseline,1y,auroc,76684,1069,1640,75044,0.8198871865091178,0.6440250906460079,0.17586209586310997,0.176115965921775,0.02851450100762792,0.12039303373636556,0.23271405244138427,0.0,10000,10000,20271707,0.0,True
Overall,XGBoost,Qwen3-4B baseline,5y,auroc,35079,683,1797,33282,0.7669787265376994,0.5707094016605272,0.1962693248771722,0.1969402942516577,0.03068247864941024,0.13614015197630827,0.2559327086220506,0.0,10000,10000,20272716,0.0,True
Overall,XGBoost,Llama3.1-8B,1m,auroc,88640,1181,557,88083,0.9251513959893101,0.5350085486328577,0.3901428473564523,0.38932663128762074,0.01826550646922734,0.3525080688090371,0.4240369790381861,0.0,10000,10000,20273725,0.0,True
Overall,XGBoost,Llama3.1-8B,1y,auroc,76684,1069,1640,75044,0.8198871865091178,0.5390782163894743,0.28080897011964356,0.2814324188881615,0.026821153496478758,0.2274759358348986,0.3332308511894464,0.0,10000,10000,20274734,0.0,True
Overall,XGBoost,Llama3.1-8B,5y,auroc,35079,683,1797,33282,0.7669787265376994,0.518891714275042,0.2480870122626574,0.24865333464209607,0.030947754595776058,0.18647549211927053,0.30829277496590174,0.0,10000,10000,20275743,0.0,True
Overall,XGBoost,Huatuo-O1-7B,1m,auroc,88640,1181,557,88083,0.9251513959893101,0.5403571435632433,0.3847942524260668,0.38499300617221804,0.023779024279600464,0.3374866649097761,0.43115240695786955,0.0,10000,10000,20276752,0.0,True
Overall,XGBoost,Huatuo-O1-7B,1y,auroc,76684,1069,1640,75044,0.8198871865091178,0.5339376102605171,0.28594957624860073,0.2862860213316114,0.026036157599004458,0.23574363079114108,0.33770812130341343,0.0,10000,10000,20277761,0.0,True
Overall,XGBoost,Huatuo-O1-7B,5y,auroc,35079,683,1797,33282,0.7669787265376994,0.5088228609955826,0.2581558655421168,0.25884928106897825,0.03346035233137124,0.19061964712703036,0.3219631749037293,0.0,10000,10000,20278770,0.0,True
Overall,LSTM,RSF,1m,auroc,88640,1181,557,88083,0.8852891646937133,0.8955450986319803,-0.010255933938266959,-0.009185660655005834,0.03209849954779462,-0.07900434513494223,0.04625248745966492,0.8346,10000,10000,20279779,0.8763299999999999,False
Overall,LSTM,RSF,1y,auroc,76684,1069,1640,75044,0.7340919627964602,0.7731070333046888,-0.03901507050822861,-0.03847725118738813,0.04322729203242167,-0.1275551308303285,0.04137409550589375,0.3812,10000,10000,20280788,0.42885,False
Overall,LSTM,RSF,5y,auroc,35079,683,1797,33282,0.7108219696730294,0.7083440217467454,0.0024779479262839743,0.002780456726626533,0.02451042012695135,-0.046681518255966246,0.04905763669983822,0.8956,10000,10000,20281797,0.9100451612903225,False
Overall,LSTM,Qwen3-4B SFT,1m,auroc,88640,1181,557,88083,0.8852891646937133,0.9121447514280384,-0.026855586734325088,-0.02668262263144228,0.027926718611774277,-0.0884754292403115,0.01796778432355947,0.3472,10000,10000,20282806,0.39770181818181816,False
Overall,LSTM,Qwen3-4B SFT,1y,auroc,76684,1069,1640,75044,0.7340919627964602,0.7766719337663368,-0.042579970969876646,-0.04448707371573738,0.0433541720791707,-0.12690893581854187,0.04193533237134044,0.3026,10000,10000,20283815,0.3563,False
Overall,LSTM,Qwen3-4B SFT,5y,auroc,35079,683,1797,33282,0.7108219696730294,0.712235615803262,-0.0014136461302326486,-0.0021123199376271865,0.030375675790463012,-0.05767593085053528,0.06083214090249423,0.9268,10000,10000,20284824,0.9268,False
Overall,LSTM,Qwen3-4B baseline,1m,auroc,88640,1181,557,88083,0.8852891646937133,0.7021636663852485,0.1831254983084648,0.18393350884406237,0.04358793210152134,0.0921230507692992,0.26212504393243,0.0004,10000,10000,20285833,0.0006631578947368421,True
Overall,LSTM,Qwen3-4B baseline,1y,auroc,76684,1069,1640,75044,0.7340919627964602,0.6440250906460079,0.09006687215045228,0.09031585099901288,0.04912931022461339,-0.010642293738046675,0.18082733139805135,0.075,10000,10000,20286842,0.0984375,False
Overall,LSTM,Qwen3-4B baseline,5y,auroc,35079,683,1797,33282,0.7108219696730294,0.5707094016605272,0.14011256801250216,0.14123818344454891,0.03261245824804539,0.0786796160789881,0.2057766681813568,0.0,10000,10000,20287851,0.0,True
Overall,LSTM,Llama3.1-8B,1m,auroc,88640,1181,557,88083,0.8852891646937133,0.5350085486328577,0.3502806160608556,0.3504147388409237,0.0337293134898699,0.27605636985277643,0.4061546734188469,0.0,10000,10000,20288860,0.0,True
Overall,LSTM,Llama3.1-8B,1y,auroc,76684,1069,1640,75044,0.7340919627964602,0.5390782163894743,0.19501374640698588,0.1954658330496208,0.040351655160853074,0.11397981073285766,0.27055968043510414,0.0,10000,10000,20289869,0.0,True
Overall,LSTM,Llama3.1-8B,5y,auroc,35079,683,1797,33282,0.7108219696730294,0.518891714275042,0.19193025539798736,0.19319520451063885,0.03250610542250221,0.13048748949814282,0.2581297777821534,0.0,10000,10000,20290878,0.0,True
Overall,LSTM,Huatuo-O1-7B,1m,auroc,88640,1181,557,88083,0.8852891646937133,0.5403571435632433,0.34493202113047006,0.34525476018205414,0.03409623595678904,0.2747671634255651,0.40870861566479066,0.0,10000,10000,20291887,0.0,True
Overall,LSTM,Huatuo-O1-7B,1y,auroc,76684,1069,1640,75044,0.7340919627964602,0.5339376102605171,0.20015435253594305,0.2003027919787435,0.04151912539656404,0.11472568407744689,0.2780619932471666,0.0,10000,10000,20292896,0.0,True
Overall,LSTM,Huatuo-O1-7B,5y,auroc,35079,683,1797,33282,0.7108219696730294,0.5088228609955826,0.20199910867744675,0.20275715015199558,0.032276270038622525,0.14102730227474414,0.2666941264507638,0.0,10000,10000,20293905,0.0,True
Overall,RSF,Qwen3-4B SFT,1m,auroc,88640,1181,557,88083,0.8955450986319803,0.9121447514280384,-0.01659965279605813,-0.01719848575212904,0.01497594517267837,-0.04771167907451312,0.011087490533831254,0.2394,10000,10000,20294914,0.2900423076923077,False
Overall,RSF,Qwen3-4B SFT,1y,auroc,76684,1069,1640,75044,0.7731070333046888,0.7766719337663368,-0.003564900461648035,-0.005219596221357153,0.02953050812372705,-0.061035208702720015,0.05319069880469061,0.855,10000,10000,20295923,0.8830327868852459,False
Overall,RSF,Qwen3-4B SFT,5y,auroc,35079,683,1797,33282,0.7083440217467454,0.712235615803262,-0.003891594056516623,-0.004415600957664678,0.023796891554651402,-0.049699309688215274,0.04407667316650834,0.826,10000,10000,20296932,0.8763299999999999,False
Overall,RSF,Qwen3-4B baseline,1m,auroc,88640,1181,557,88083,0.8955450986319803,0.7021636663852485,0.19338143224673177,0.19275221265239803,0.021382244819154437,0.15192025660153743,0.23593055939887045,0.0,10000,10000,20297941,0.0,True
Overall,RSF,Qwen3-4B baseline,1y,auroc,76684,1069,1640,75044,0.7731070333046888,0.6440250906460079,0.1290819426586809,0.12917841109094017,0.028976038698736953,0.06986093065301839,0.18392310589800245,0.0002,10000,10000,20298950,0.00034054054054054057,True
Overall,RSF,Qwen3-4B baseline,5y,auroc,35079,683,1797,33282,0.7083440217467454,0.5707094016605272,0.13763462008621818,0.13862882898012957,0.032279152990482986,0.07537607582679363,0.2029723714817707,0.0,10000,10000,20299959,0.0,True
