Scope,Stage,Stage_Display,Model_A,Model_B,Target,Metric,N_Nodes,N_Patients,Positive_N,Negative_N,Model_A_Value,Model_B_Value,Delta_A_minus_B,Bootstrap_Mean_Delta,Bootstrap_SD_Delta,CI_95_Low,CI_95_High,P_Value,N_Bootstrap_Requested,N_Bootstrap_Valid,Seed,Q_Value_BH,Significant_FDR_0_05
Stage,Stage1,0-1 mo,XGBoost,Qwen3-4B SFT,1m,auroc,19319,1164,320,18999,0.8988333267540397,0.8765912844097058,0.022242042344333912,0.021967743893676346,0.013877646398735692,-0.004224878546305351,0.05084342080599966,0.1048,10000,10000,20261617,0.3144,False
Stage,Stage1,0-1 mo,XGBoost,Qwen3-4B SFT,1y,auroc,17126,1040,704,16422,0.730253588589586,0.7432242968827847,-0.012970708293198685,-0.013287382394912107,0.031807243393855884,-0.07768354017182762,0.04788109877499243,0.691,10000,10000,20262626,0.8431686337267453,False
Stage,Stage1,0-1 mo,XGBoost,Qwen3-4B SFT,5y,auroc,10295,666,821,9474,0.6989820463827278,0.69943935283359,-0.0004573064508622826,-0.0001414651239416668,0.02933805122678385,-0.0570691185814357,0.057003888009141794,0.9972,10000,10000,20263635,0.9972,False
Stage,Stage2,2-3 mo,XGBoost,Qwen3-4B SFT,1m,auroc,9483,1123,97,9386,0.8767730399080887,0.8941865599346251,-0.0174135200265364,-0.020191039333470114,0.020395106559884166,-0.06770594138254843,0.01173421623859785,0.2658265826582658,10000,9999,20264644,0.5696283914105696,False
Stage,Stage2,2-3 mo,XGBoost,Qwen3-4B SFT,1y,auroc,8483,1003,300,8183,0.7978606053199723,0.7133917878528657,0.08446881746710655,0.08318645260248336,0.027364538609733997,0.027848845600352418,0.13499822938079153,0.0048,10000,10000,20265653,0.028002800280028006,True
Stage,Stage2,2-3 mo,XGBoost,Qwen3-4B SFT,5y,auroc,4917,625,305,4612,0.7917122829966019,0.6863115465002203,0.1054007364963816,0.10237929630918743,0.058206222873696666,-0.005014122812529652,0.22307932223343943,0.0628,10000,10000,20266662,0.2355,False
Stage,Stage3,4-12 mo,XGBoost,Qwen3-4B SFT,1m,auroc,19167,1095,50,19117,0.8868692786525082,0.8397018360621438,0.04716744259036443,0.04637013542120663,0.05551243832145134,-0.060930381289812104,0.1569792723773174,0.4016,10000,10000,20267671,0.7336666666666667,False
Stage,Stage3,4-12 mo,XGBoost,Qwen3-4B SFT,1y,auroc,16788,971,342,16446,0.788429686238784,0.6367616007874075,0.15166808545137644,0.14653000170673178,0.03735591650562615,0.0672377590725342,0.21344199906155584,0.0002,10000,10000,20268680,0.003,True
Stage,Stage3,4-12 mo,XGBoost,Qwen3-4B SFT,5y,auroc,8922,594,342,8580,0.7371641516378359,0.6438691912376123,0.09329496040022356,0.09096310846628203,0.06159821477558448,-0.02631602920183086,0.21717897141049566,0.128,10000,10000,20269689,0.32,False
Stage,Stage4,1-2 y,XGBoost,Qwen3-4B SFT,1m,auroc,12636,968,38,12598,0.9288358218931995,0.8339178733466465,0.094917948546553,0.09738805507749283,0.03984824610941638,0.02735158942529038,0.174898922659591,0.0056005600560056,10000,9999,20270698,0.028002800280028006,True
Stage,Stage4,1-2 y,XGBoost,Qwen3-4B SFT,1y,auroc,11158,866,134,11024,0.71627575114269,0.6502430924116717,0.06603265873101838,0.07120911937237429,0.09183653315107716,-0.10785015854590838,0.24807681329677092,0.4402,10000,10000,20271707,0.7336666666666667,False
Stage,Stage4,1-2 y,XGBoost,Qwen3-4B SFT,5y,auroc,4942,489,126,4816,0.6864584981279334,0.6385807229868691,0.04787777514106428,0.047490649240499616,0.07708187601078201,-0.10677448192139681,0.19554525501685088,0.5238,10000,10000,20272716,0.7857000000000001,False
Stage,Stage5,>2 y,XGBoost,Qwen3-4B SFT,1m,auroc,24329,848,34,24295,0.972117235451497,0.9714501894604312,0.0006670459910658177,0.0015676148019669683,0.017195360601568413,-0.026349548699808045,0.03944917769845204,0.9766,10000,10000,20273725,0.9972,False
Stage,Stage5,>2 y,XGBoost,Qwen3-4B SFT,1y,auroc,19992,763,77,19915,0.929540156052835,0.9214202568709221,0.008119899181912915,0.008091982775454113,0.05497647218319116,-0.11067783582591349,0.11945785529063699,0.7307461492298459,10000,9998,20274734,0.8431686337267453,False
Stage,Stage5,>2 y,XGBoost,Qwen3-4B SFT,5y,auroc,4538,356,117,4421,0.8241087119169003,0.6761426138263958,0.14796609809050443,0.08288588287516566,0.18394030983673348,-0.2624299432540119,0.36183252097049645,0.7302572315083575,10000,9991,20275743,0.8431686337267453,False
